"","x1","status","year","month","day","name","alt_name_number_1","alt_name_number_2","alt_name_number_3","order","victims_race","victims_sex","victims_age","fips_lynch","lynch_county","lynch_state","fips_mob","mob_county","mob_state","method_of_death","accusation","accusation_code","mob_size","mob_size_code","appalachia","brundage_inventory","caldwell_de_lord","carrigan","carrigan_webb","chicago_tribune","comp_of_mob","creation","custody","daniel_williams_tuskegee","eji","horrific_torture","jones","modified","moore","naacp","newkirk","notable","notes","orr_klopfer","other","pfeifer","photo","place","post_mort_codes","post_mort_desc","problem_flag","resident_status","time_of_lynching","tolnay_beck","torture","torture_codes","verification","verified","wright","status_clean","decade"
"1802",1802,"Lynching",1902,11,20,"Elijah Wells","Lige Wells","Isaac Wells",NA,"1 of 1","Black","Male",NA,5037,"Cross","AR",5037,"Cross","AR","Hanged","Murderous assault on a white man, a train conductor","6","12",2,NA,"INAP","INAP","INAP","INAP","Elijah Wells, 11/20/1902, Wynne, Colored, Murderous assault","Masked","05/13/2011","Yes","Elijah Wells, 11/20/1902, Wynne, Cross Co., Negro, Murderous assault","Lige Wells, 11/20/1902, Cross Co., Black, Assault",0,"INAP","04/29/2020 10:19:35","INAP","Elijah Wells, 11/20/1902, Wynne, Cross Co., Negro, Murderous assault","INAP",NA,"The Constitution reports that Lige Wells, who was accused of slightly wounding a white Iron Mountain train conductor, Max Campbell, was taken from officers. He was taken from a train at Wynne to be carried to Forrest City [St. Francis Co.] when 12 masked men boarded the train and removed Wells. Apparently Wells was taken into the swamps south of Wynne and lynched. The Appeal gives the location as 0.5 miles from Wynne. From the Times-Picayune, “Wynne, Ark., Nov. 20.—Lige Wells, a negro, charged with assaulting Max Campbell ... was taken from the officers to-night by a mob of armed men, and it is reported that he was lynched. The officers had just boarded the train with their prisoner at this point to take him to the County Jail at Forrest City [St. Francis Co.], when a dozen masked men entered the coach and forced the officers to give up the negro. The mob left at once for the swamp country to the south of Wynne with the avowed intention of lynching Wells. Information received at a late hour to-night tends to show that the mob carried out its plans.” The same report appears in the Herald. From the News, “Wynne, Ark., Nov. 21.—Isaac Wells, a negro, was lynched here last night for a vicious attack upon Conductor Max Campbell of the Iron Mountain Railroad. The negro cut Campbell about the neck, inflicting a painful wound. A mob took forcible possession of Wells and hung him to a tree. Sheriff Patterson of Woodruff County to-day denied a report that he had threatened to have the Sheriff of Cross County run down by negroes for his alleged failure to protect Wells.”

Note: wonder why was he being taken to Forrest City in St. Francis Co. and not Vanndale, county seat, of Cross Co., maybe for safe keeping? Why would the sheriff of Woodruff Co. be concerned with Wells? Woodruff Co. adjoints St. Francis and Cross counties on the west.","INAP",NA,"INAP",NA,"Swamp south of Wynne; 0.5 miles from Wynne","0","None reported",NA,"No indication of being a stranger or marginalized","Night","Lige Wells, 11/20/1902, Cross Co., Black Male, Murderous assault","None reported","0","Atlanta (GA) Constitution 11/21/1902, p. 1 (Ancestry.com)
Memphis (TN) Commercial Appeal 11/21/1902, p. 1
New Orleans (LA) Times-Picayune 11/21/1902, p. 1 (GenealogyBank.com)
Omaha (NE) World Herald 11/21/1902, p. 1 (GenealogyBank.com)
Memphis (TN) Commercial Appeal 11/22/1902, p. 3
Dallas (TX) Morning News 11/22/1902, p. 6 (GenealogyBank.com)","Yes","INAP","lynching","1900"
"1803",1803,"Lynching",1902,11,24,"Joseph Lamb","Joe Lamb",NA,NA,"1 of 1","Black","Male","Young",22125,"West Feliciana","LA",22125,"West Feliciana","LA","Hanged","Attempted robbery and criminal assault on a young white girl","1","“large body”",3,NA,"INAP","INAP","INAP","INAP","Joseph Lamb, 11/26/1902, St. Francisville, Colored, Attempted rape",NA,"05/13/2011",NA,"Joseph Lamb, 11/26/1902, Francisville, Negro, Attempted rape","Joe Lamb, 11/25/1902, West Feliciana Parish, Black, Assault",0,"INAP","04/29/2020 10:19:35","INAP","Joseph Lamb, 11/26/1902, Francisville, Negro, Attempted rape","INAP",NA,"From the Times-Picayune, “St. Francisville, La., Nov. 25.—Joe Lamb, a young negro with a long criminal record, and only one month out of the Mississippi Penitentiary, was lynched yesterday evening by a large body of incensed men. On Sunday morning, about 2 o’clock, Lamb broke into the bedroom of the daughter of one of our merchants, his avowed intent being robbery and criminal assault. The screams of the lady aroused the neighbors. He was fired on several times, but succeeded in making his escape. He was arrested at Stonewall, Pointe Coupee Parish, yesterday and brought back about dusk. While on the way to the Parish Jail the officers in charge of him were overpowered, and Lamb was taken and hanged to a tree in the old cemetery. The execution was so quietly and quickly done that many citizens did not know of the the occurrence until this morning. Lamb’s family, who are respectable colored people, refused to take the body.”

The same report appears in the Herald.","INAP",NA,"Joseph Lamb, 11/25/1902, West Feliciana Parish, Black, Attempted robbery and criminal assault",NA,"Old cemetery in/near St. Francisville","0","None reported",NA,"An ex-convict with a long criminal record","Evening","Joseph Lamb, 11/25/1902, West Feliciana Parish, Black Male, Criminal assault (rape)","None reported","0","New Orleans Times-Picayune 11/26/1902, p. 2 (GenealogyBank.com)
Biloxi (MS) Daily Herald 11/26/1902, p. 6 (GenealogyBank.com)","Yes","INAP","lynching","1900"
"1804",1804,"Lynching",1902,12,27,"Mary Wideman","Mrs. Oliver Wideman",NA,NA,"2 of 2","Black","Female",NA,45047,"Greenwood","SC",45047,"Greenwood","SC","Hanged and riddled with bullets","Complicity in the murder of a young white planter","4","“a crowd”",2,NA,"INAP","INAP","INAP","INAP","Mrs. Wideman, 12/27/1902, Troy, Colored, Murder",NA,"05/13/2011","Yes","Mrs. Oliver Wideman, 12/27/1902, Troy, Greenwood Co., Negro, Murder","— Wideman, 12/27/1902, Greenwood Co., Black, Homicide",0,"INAP","04/29/2020 10:19:35","Mrs. Wideman, 12/26/1902, Greenwood Co., Black, Murder","Mrs. Wideman, 12/27/1902, Troy, Greenwood Co., Negro, Murder","INAP",NA,"The 12/28 Constitution gives the white planter as W. K. Jay—apparently Oliver and his wife were captured and each blamed each other for the killing. “A crowd of infuriated friends and neighbors” took the Wideman’s from a constable and hanged them from the Winterseat Bridge. The Landmark story says that the Wideman’s lived on Jay’s plantation, and they were hanged and riddled with bullets. The Agitator reports that Mary and Oliver Wideman were taken from a constable and  hanged from Wintergreen bridge spanning Cane Creek. The State report, the black man and woman are unnamed and a Dr. Wideman was mentioned but he wasn’t a victim of anything; also the report states that they were tied to a street and ‘shot to pulp/pieces’; further “The spot [where they were ‘shot to pieces’] is very near that on which seven negroes were shot to death in 1876 for the murder of Mr. and Mrs. Harmon.” Must be referring to the lynching of Larkin Holloway, Stephen Lake, Austin Davis, Marshal Perrin, and Jeff Settles on 5/24/1876.

Note: Greenwood Co. was formed in 1897 from parts of Abbeville Co. and Edgefield Co. The mob was most likely from Greenwood since Jay lived near Troy.","INAP",NA,"INAP",NA,"Winterseat Bridge, near Troy","0","None reported",NA,"No indication of being a stranger or marginalized","Midnight","Mrs. O. Wideman, 12/27/1902, Greenwood Co., Black Female, Murder","None reported","0","Atlanta (GA) Constitution 12/27/1902, p. 2 (Ancestry.com)
Charleston Sunday News 12/28/1902, p. 1
Atlanta (GA) Constitution 12/28/1902, p. 24 (Ancestry.com)
New Orleans (LA) Times-Picayune 12/28/1903, p. 12 (GenealogyBank.com)
Columbia State 12/29/1902, p. 1 (GenealogyBank.com)
Statesville (NC) Landmark 12/30/1902, p. 2 (Ancestry.com)
Wellsboro (PA) Agitator 12/31/1902, p. 8 (Ancestry.com)","Yes","INAP","lynching","1900"
"1805",1805,"Lynching",1902,12,27,"Oliver Wideman",NA,NA,NA,"1 of 2","Black","Male",NA,45047,"Greenwood","SC",45047,"Greenwood","SC","Hanged and riddled with bullets","Murder of a young white planter","4","“a crowd”",2,NA,"INAP","INAP","INAP","INAP","Oliver Wideman, 12/27/1902, Troy, Colored, Murder",NA,"05/13/2011","Yes","Oliver Wideman, 12/27/1902, Troy, Greenwood Co., Negro, Murder","eman, 12/27/1902, Greenwood Co., Black, Homicide",0,"INAP","04/29/2020 10:19:35","Oliver Wideman, 12/26/1902, Greenwood Co., Black, Murder","Oliver Wideman, 12/27/1902, Troy, Greenwood Co., Negro, Murder","INAP",NA,"The 12/27 Constitution reports that Oliver Wideman is being hunted in connection to the killing of W. J. Jay, a planter of Abbeville who lived near McCormick. “The whites are incensed and if Wideman is captured he will probably be lynched.” The 12/28 edition gives the white planter as W. K. Jay — apparently Oliver and his wife were captured and each blamed each other for the killing. “A crowd of infuriated friends and neighbors” took the Wideman’s from a constable and hanged them from the Winterseat Bridge. It’s reported Jay was from Troy in Greenwood Co. The Landmark story says that the Wideman’s lived on Jay’s plantation, and they were hanged and riddled with bullets. The Agitator reports that Mary and Oliver Wideman were taken from a constable and  hanged from Wintergreen bridge spanning Cane Creek. The State report, the black man and woman are unnamed and a Dr. Wideman was mentioned but he wasn’t a victim of anything; also the report states that they were tied to a street and ‘shot to pulp/pieces’; further “The spot [where they were ‘shot to pieces’] is very near that on which seven negroes were shot to death in 1876 for the murder of Mr. and Mrs. Harmon.” Must be referring to the lynching of Larkin Holloway, Stephen Lake, Austin Davis, Marshal Perrin, and Jeff Settles on 5/24/1876.

Note: Greenwood Co. was formed in 1897 from parts of Abbeville Co. and Edgefield Co. The mob was most likely from Greenwood since Jay lived near Troy.","INAP",NA,"INAP",NA,"Winterseat Bridge, near Troy","0","None reported",NA,"“A Bad Negro”, according to the Constitution","Midnight","Oliver Wideman, 12/27/1902, Greenwood Co., Black Male, Murder","None reported","0","Atlanta (GA) Constitution 12/27/1902, p. 2 (Ancestry.com)
Charleston Sunday News 12/28/1902, p. 1
Atlanta (GA) Constitution 12/28/1902, p. 24 (Ancestry.com)
New Orleans (LA) Times-Picayune 12/28/1903, p. 12 (GenealogyBank.com)
Columbia State 12/29/1902, p. 1 (GenealogyBank.com)
Statesville (NC) Landmark 12/30/1902, p. 2 (Ancestry.com)
Wellsboro (PA) Agitator 12/31/1902, p. 8 (Ancestry.com)","Yes","INAP","lynching","1900"
"1806",1806,"Lynching",1902,12,28,"Tom Patton","Jim Patton",NA,NA,"1 of 1","White-Anglo","Male",NA,1023,"Choctaw","AL",1023,"Choctaw","AL","Unreported","Assault with intent to murder a white man","6","7",1,NA,"INAP","INAP","INAP","INAP","Not in Chicago Tribune inventory",NA,"05/13/2011",NA,"Not in Williams inventory","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:53:43","INAP","Not in NAACP inventory","INAP",NA,"The Constitution reports that Governor Jelks offered, on 27th, a $400 reward for the arrest of the men “who lynched Tom Patton in Choctaw Co.” In January, Patton was arrested, accused of intent to murder Ab Smith, and carried to the home of a judge. While waiting at the judge’s home, “several white men” broke in at midnight and took Patton away. Patton’s bones were found two months ago.” From the Advertiser, “Jim Patton, a White Man, Taken from House of Justice of Peace and Lynch by Mob. The offer of a reward by the Governor of $400 for the arrest and conviction of the murderers of Tom Patton has drawn attention to an unfortunate state of affairs in a Choctaw County neighborhood. Not only was Patton lynched, but another white man of the same neighborhood was shot to death a week after the first crime. ... Patton was done to death, it is said, by seven men the Sunday after last Christmas, but the bones of the man were not found until two months ago. ... Tom Patton was arrested on a charge of assault to murder, alleged to have been committed on Ab Smith, another white man. ... He was taken before Justice of Peace Buckalew, near Butler, for a preliminary hearing. While he was in the house of the justice, seven men broke in and carried him out. Patton disappeared and was never heard of afterwards. His bones were found two months ago in the woods.”

Christmas 1902 = Thursday, Sunday = 12/28.

Note: couldn’t find earlier stories in GenealogyBank.com.","INAP",NA,"INAP",NA,"Near Butler","0","None reported",NA,"No indication of being a stranger or marginalized","Midnight","Not in original Tolnay-Beck inventory","None reported","0","Atlanta (GA) Constitution 11/28/1903, p. 1
Montgomery Advertiser 11/28/1903, p. 8 (GenealogyBank.com)","Yes","INAP","lynching","1900"
"1807",1807,"Lynching",1901,1,2,"Ed Dodson","Eli Dodson","Dave Dobson","Unknown Negro","1 of 1","Black","Male",NA,13027,"Brooks","GA",13027,"Brooks","GA","Riddled with bullets","Assaulted 7 year-old black girl","1","10 to 15",2,NA,"— Dobson, 1/2/1901, Brooks Co., Black","INAP","INAP","INAP","Unknown negro, 1/5/1901, Quitman, Rape","Black","05/13/2011","Yes","Unknown Negro, 1/5/1901, Quitman, Brooks Co., Rape","Ed Dobson, 1/2/1901, Brooks Co., Black, Sexual misconduct",0,"INAP","04/29/2020 10:19:34","INAP","Unknown Negro, 1/5/1901, Quitman, Brooks Co., Rape","INAP",NA,"The Constitution reports that Dodson was arrested for assaulting a 7 year-old black girl and was being transported to Quitman to jail by a bailiff by train. The trains was flagged down 9 miles north of Quitman, Dodson taken, and shot by the mob. The News report adds nothing. According to the 1/4 Press, Eli Dodson, was shot to death near Kennedy’s Station on South Georgia Railroad by 10-15 black men. The Banner states that he was shot “almost to pieces”. The Press of 5/17 reports the discovery of the badly decomposed body of Dave Dodson, a.k.a. Eli Dodson, in the Little River.

Note: couldn’t find in the Cuthbert Leader, Fayetteville News, Marion County Patriot, Montgomery Monitor, Newnan Herald and Advertiser.","INAP",NA,"INAP",NA,"9 miles N of Quitman. Near Kennedy’s Station on the South Georgia Railroad","3","Thrown into river",NA,"“was a bad man, having served two years on a chaingang” according to the Constitution","Night","Ed Dobson, 1/2/1901, Brooks Co., Black Male, Assaulted girl [rape]","None reported","0","Atlanta Constitution 1/4/1901, p. 2
Athens Weekly Banner 1/4/1901, p. 1 (Athens Historic Newspapers)
Dawson News 1/9/1901, p. 4
Quitman Free Press 1/4/1901, p. 1
Quitman Free Press 5/17/1901, p. 1","Yes","INAP","lynching","1900"
"1808",1808,"Lynching",1901,1,2,"Louis McAdams",NA,NA,NA,"1 of 1","Black","Male",NA,1117,"Shelby","AL",1117,"Shelby","AL","Hanged and riddled with bullets","Stabbed and seriously wounded a white man","6","100",4,"Yes","INAP","INAP","INAP","INAP","Lhous McAdams, 1/3/1901, Wilsonville, Colored, Murderous assault","Masked","05/13/2011","Yes","Louis McAdams, 1/3/1901, Wilsonville, Shelby Co., Negro, Murderous assault","Louis McAdams, 1/2/1901, Shelby Co., Black, Assault",0,"INAP","04/29/2020 10:19:34","INAP","Louis McAdams, 1/3/1901, Wilsonville, Shelby Co., Negro, Murderous assault","INAP",NA,"From the Age-Herald, “Wilsonville, January 2.—(Special.)—Louis McAdams, the negro who cut and seriously injured J. M. Ray at this place on Christmas even, and who was arrested in Childersburg yesterday, was taken from the officers by a mob of 100 men this afternoon and hanged to a limb of a tree about four miles from Wilsonville.  As the negro’s body swung in the air the contents of fifty shotguns and rifles were emptied into it. Their work well done the mob quietly dispersed, and as every man wore a mask there is no clue to the identity of the lynchers. ... The mob ... took the negro to a tree underneath which was a fence. A rope was securely fastened about his neck and he was forced to mount the fence while the end of the rope was fastened to a limb. The fence was then knocked from under him, and while he swung in the air, the contents of about fifty guns were emptied into his body.”","INAP",NA,"INAP",NA,"Enroute from Childersburg to Wilsonville, 4 miles from Wilsonville","0","None reported",NA,"No indication of being a stranger or marginalized","Afternoon","Louis McAdams, 1/2/1901, Shelby Co., Black Male, Murderous assault","None reported","0","Macon (GA) Telegraph 1/3/1901, p. 2
Birmingham Age-Herald 1/3/1901, p. 1 (GenealogyBank.com)
Atlanta (GA) Constitution 1/4/1901, p. 2","Yes","INAP","lynching","1900"
"1809",1809,"Lynching",1901,1,3,"George Reede","George Read","George Reed","John Reed","1 of 1","Black","Male","28-35",13115,"Floyd","GA",13115,"Floyd","GA","Hanged and riddled with bullets","Attempted assault on married white woman, wife of a bailiff","1","600",5,"Yes","George Reede, 1/3/1901, Floyd Co., Black","INAP","INAP","INAP","George Read, 1/3/1901, Rome, Colored, Suspected rape",NA,"05/13/2011",NA,"George Read, 1/3/1901, Rome, Floyd Co., Negro, Suspected rape","George Reed, 1/3/1901, Floyd Co., Black, Sexual misconduct",0,"INAP","04/29/2020 10:19:34","INAP","George Read, 1/3/1901, Rome, Floyd Co., Negro, Suspected rape","INAP","Yes","According to the Courant-American, George Reed was lynched at 9:00 p.m. on 3 Jan by a mob of 600. He was taken from his home in north Rome, carried two miles from Rome, on the Western and Atlantic railroad and hanged from a walnut tree, and then riddled with bullets. The 1/4 Constitution reports the mob was 150 and Reede, age 28, was lynched within 3 miles of Rome after being released from jail. From the Telegraph, “The demonstrations were so pronounced that Judge Henry of the superior court, not seeing any reason for hold Reed and fearing an attack on the jail, ordered the sheriff to release him.”

Note: no Floyd Co. newspaper for 1901 available in microfilm. Suppose the good Judge didn’t want the jail damaged.","INAP",NA,"INAP",NA,"Within 3 miles of Rome","0","None reported",NA,"“... has not lived in Rome long,” according to the Courant-American","9:00 PM","George Reede, 1/3/1901, Floyd Co., Black Male, Assaulted woman [rape]","None reported","0","Atlanta Constitution 1/4/1901, p. 2
Macon Telegraph 1/4/1901, p. 2 (Macon Historic Newspapers)
Atlanta Constitution 1/5/1901, p. 2
Cartersville Courant-American 1/10/1901, p. 7","Yes","INAP","lynching","1900"
"1810",1810,"Lynching",1901,1,3,"James Denson","Jim Denson",NA,NA,"1 of 2","Black","Male",NA,12079,"Madison","FL",12079,"Madison","FL","Hanged and riddled with bullets","Murder of a white man","4","100+",4,NA,"INAP","INAP","INAP","INAP","James Denson, 1/7/1901, Madison, Colored, Murder",NA,"05/13/2011","Yes","James Denson, 1/7/1901, Madison, Madison Co., Negro, Murder","James Denson, 1/3/1901, Madison Co., Black, Homicide",0,"INAP","04/29/2020 10:19:34","INAP","James Denson, 1/7/1901, Madison, Madison Co., Negro, Murder","INAP",NA,"The Times-Union states that Jim Denson was taken from the county jail, carried into the woods, and hanged. According to the Star, Jim Denson and his half-brother were taken from the county jail 0.5 miles, hanged, and riddled with bullets by a mob of 100 or more. They were accused of killing Frederick Redding. In reporting on the lynching of Washington Jarvis on 18 May 1903, the News states that “The tree where Jarvis was killed is the one to which two negroes were tied and burned some time ago. Their graves are at the foot of the tree.” The Herald and Chronicle stories add nothing of significance.","INAP",NA,"INAP",NA,"0.5 miles from Madison","1","Possibly burned",NA,"No indication of being a stranger or marginalized",NA,"James Denson, 1/3/1901, Madison Co., Black Male, Murder","None reported","0","Jacksonville Florida Times-Union 1/5/1901, p. 1
Augusta (GA) Chronicle 1/5/1901, p. 2A (GenealogyBank.com)
Marion (OH) Daily Star 1/5/1901, p. 10 (Ancestry.com)
Syracuse (NY) Evening Herald 1/5/1901, p. 1 (NewspaperArchive.com)
Frederick (MD) News 5/20/1903, p. 1 (Ancestry.com)","Yes","INAP","lynching","1900"
"1811",1811,"Lynching",1901,1,3,"Jim Denson’s Half-brother","Jim Denson’s Brother","Jim Denson’s Stepson",NA,"2 of 2","Black","Male",NA,12079,"Madison","FL",12079,"Madison","FL","Hanged and riddled with bullets","Murder of a white man","4","100+",4,NA,"INAP","INAP","INAP","INAP","Denson’s Stepson, 1/7/1901, Madison, Colored, Murder",NA,"05/13/2011","Yes","Denson’s Stepson, 1/7/1901, Madison, Madison Co., Negro, Murder","Stephen Denson, 1/3/1901, Madison Co., Black, Homicide",0,"INAP","04/29/2020 10:19:34","INAP","Denson’s Stepson, 1/7/1901, Madison, Madison Co., Negro, Murder","INAP",NA,"The Times-Union states that Jim Denson was taken from the county jail, carried into the woods, and hanged. According to the Star, Jim Denson and his half-brother were taken from the county jail 0.5 miles, hanged, and riddled with bullets by a mob of 100 or more. They were accused of killing Frederick Redding. In reporting on the lynching of Washington Jarvis on 18 May 1903, the News states that “The tree where Jarvis was killed is the one to which two negroes were tied and burned some time ago. Their graves are at the foot of the tree.” The Herald and Chronicle stories add nothing of significance.
","INAP",NA,"INAP",NA,"0.5 miles from Madison","1","Possibly burned",NA,"No indication of being a stranger or marginalized",NA,"Brother of Denson, 1/3/1901, Madison Co., Black Male, Murder","None reported","0","Jacksonville Florida Times-Union 1/5/1901, p. 1
Augusta (GA) Chronicle 1/5/1901, p. 2A (GenealogyBank.com)
Marion (OH) Daily Star 1/5/1901, p. 10 (Ancestry.com)
Syracuse (NY) Evening Herald 1/5/1901, p. 1 (NewspaperArchive.com)
Frederick (MD) News 5/20/1903, p. 1 (Ancestry.com)","Yes","INAP","lynching","1900"
"1812",1812,"Lynching",1901,1,3,"Sterling Thompson",NA,NA,NA,"1 of 1","Black","Male","Old",13041,"Campbell","GA",13041,"Campbell","GA","Riddled with bullets","Race hatred — wanted his land","10","5-7",1,NA,"Sterling Thompson, 1/3/1901, Campbell Co., Black","INAP","INAP","INAP","Sterling Thompson, 1/3/1901, Campbell Co., Colored, Race prejudice","Whitecaps","05/13/2011",NA,"Sterling Thompson, 1/3/1901, Campbell Co., Negro, Race prejudice","Sterling Thompson, 1/3/1901, Campbell Co., Black, Racial conflict",0,"INAP","06/27/2020 14:15:37","INAP","Sterling Thompson, 1/3/1901, Campbell Co., Negro, Race prejudice","INAP","Yes","According to Campbell News, Sterling Thompson was lynched near Campbellton by”Regulators”. A note telling Thompson to leave the county was posted near his home, for unknown reasons. “The old negro is said to have been a very harmless species of his race, save that he had a very severe case of the ‘big head’, and the affair last night is deeply deplored.” Thompson’s son was also wounded in the attack. The 1/5 Constitution reports that ten days before being killed Thompson had received a letter telling him to leave the county. On the night of 3 Jan “a party” of masked men “whitecaps” called Thompson out and riddled him with bullets. The Dawson News notes that Governor Candler is offering a $800 reward for the whitecaps who lynched Thompson, and that 7 men shot Thompson because they wanted his land. The 8/8 Constitution reports that seven of the gang that killed Thompson have been sent to prison for the murder. See also the story in the Telegraph. According to the the 10/3/1903 Constitution a Lant Hester, who was convicted as being one of the murderers of Thompson will receive a pardon. The 12/17/1905 Constitution reports that Shell Cochran, one of the men arrested for the murder of Sterling Thompson has been recommended for a pardon and notes that four were involved in the murder— ”... It is said the negro had bought a piece of land which the Cochrans and others wanted. Shell Cochran and J. A. Cochran were convicted of murder and sentenced life imprisonment. John McKenzie and J. S. Coleman were convicted of voluntary manslaughter and give short terms which they have served out. J. A. [Pegrim] Cochran was pardoned some time ago [1904], and Shell Cochran was the only remaining prisoner as the result of the crime. There was presented to the prison commission petitions signed by 1,600 persons asking for Shell Cochran’s pardon. These included the names of most of the prominent citizen of Campbell county, and a number of well known citizens of surrounding counties.” The 12/21 Constitution confirms the pardon of Shell Cochran.
","INAP",NA,"INAP",NA,"10 miles W of Fairburn","0","None reported",NA,"No indication of being a stranger or marginalized. Prominent Negro politician and well-to-do.","Night","Sterling Thompson, 1/3/1901, Campbell Co., Black Male, Race hatred","None reported","0","Campbell News 1/4/1901, p. 1                                                                               Atlanta Constitution 12/21/1905, p. 8 (Newspapers.com)
Atlanta Constitution 1/5/1901, p. 2 (Newspapers.com)
Dawson News 1/16/1901, p. 1
Atlanta Constitution 8/8/1901, p. 2 (Ancestry.com)
Macon Telegraph 8/14/1901, p. 3 (Macon Historic Newspapers)
Atlanta Constitution 10/3/1903, p. 4 (Newspapers.com)
Atlanta Constitution 12/17/1905, p. 6 (Newspapers.com)
","Yes","INAP","lynching","1900"
"1813",1813,"Lynching",1901,1,14,"Norman McKinney","Roman McKinney",NA,NA,"1 of 1","Black","Male","22",12017,"Citrus","FL",12017,"Citrus","FL","Hanged","Trainwrecking and death of railroad engineer","4","50+",3,NA,"INAP","INAP","INAP","INAP","Norman McKinney, 1/14/1901, Dunnellon, Colored, Train wrecking",NA,"05/13/2011","Yes","Norman McKinney, 1/16/1901, Dunnellon, Marion Co., Negro, Trainwrecking","Norman McKinney, 1/14/1901, Marion Co., Black, Homicide",0,"INAP","04/29/2020 10:19:34","INAP","Norman McKinney, 1/16/1901, Dunnellon, Marion Co., Negro, Trainwrecking","INAP",NA,"According to the Courier, McKinney was pursed by Citrus Co. officers and after arrest was being carried toward Inverness [Citrus Co.], site of the county jail, when he was taken by a mob back to the scene of the wreck and lynched. From the Telegraph, “Ocala [Marion Co.], Fla., Jan. 16.—Norman McKinney, colored, has been lynched for wrecking the Plant system fast train near Dunnellon [Marion Co.] Sunday night, and the victim implicated two others, who may share the same fate if they are caught. ... On the way [to Inverness, Citrus Co.] a mob of fifty or more overpowered the officers and took the prisoner. He was taken back to the scene of the wreck, and there confessed to the crime, implicating and describing the two others, who have escaped, but are now being hunted. After the confession, in which he stated that the train was wrecked for the purpose of robbery, he was hung to a tree.” The Times-Enterprise report adds nothing. The Tribune reports his name as Roman McKinney, 22 years old, and the location as three miles south of Dunnellon.

Note: Dunnellon, Marion Co. is very close to the Citrus Co. line. Since he was arrested by Citrus Co. officers and was being taken to jail in Inverness, Citrus Co., the wreck must have been in Citrus Co., near the border with Marion Co.
","INAP","Vandiver lists: Norman McKinney, 1/16/1901, Marion Co., Black, Trainwrecking/death of engineer","INAP",NA,"3 miles S of Dunnellon","0","None reported",NA,"No indication of being a stranger or marginalized","Night","Norman McKinney, 1/14/1901, Marion Co., Black Male, Trainwrecking and murder","None reported","0","Jacksonville Florida Times-Union 1/17/1901, p. 7                                                    Tampa Weekly Tribune 1/24/1901, p. 7 (Newspapers.com)
Charleston (SC) News and Courier 1/17/1901, p. 1
Tampa Tribune 1/17/1901, p. 1 (GenealogyBank.com)
Macon (GA) Telegraph 1/17/1901, p. 1 (Macon Historic Newspapers)
Birmingham (AL) Age-Herald 1/17/1901, p. 8 (GenealogyBank.com)
Thomasville (GA) Daily Times-Enterprise 1/18/1901, p. 1 (South Georgia Historic Newspapers)
Ocala Banner 1/18/1901, p. 2 (Newspapers.com)","Yes","INAP","lynching","1900"
"1814",1814,"Lynching",1901,1,15,"Charlie Lang Robinson","Charley Lang","Charles Robinson","Charles L. Robinson","1 of 1","Black","Male",NA,45011,"Barnwell","SC",45011,"Barnwell","SC","Hanged and riddled with bullets","Assault on a married white woman, wife of a farmer","1","1000",6,NA,"INAP","INAP","INAP","INAP","Charles L. Robinson, 1/16/1901, Elko, Colored, Rape",NA,"05/13/2011",NA,"Charles Robinson, 1/16/1901, Blake, Barnwell Co., Negro, Rape","Charlie Robinson, 1/14/1901, Barnwell Co., Black, Sexual misconduct; also Charlie Robinson, 1/14/1901, Houston Co., Georgia, Black, Sexual misconduct",0,"INAP","04/29/2020 10:19:34","Charles L. Robinson, 1/14/1901, Barnwell Co., Black, Rape","Charles Robinson, 1/16/1901, Elko, Barnwell Co., Negro, Rape","INAP",NA,"From the Pharos, “Augusta, Ga., Jan. 15—An unknown negro is reported to have been lynched yesterday near Elko, S. C., for criminal assault on Mrs. Wilkin Hair. Another negro has been arrested, but it is not known whether he has been disposed of.” From the Journal, “Charles Lang, a negro, was strung up to the limb of a tree near Elko, S. C., and shot to death by a mob for assaulting the wife of a farmer.” From the 1/15 State, “The wife of a well-known farmer living within one and a half miles of Elko was assaulted with criminal intent by Charles Lang, a negro well known in the community. ... A large posse is in pursuit, and if he is caught his crime will be followed by a lynching.” The 1/17 State reprints the sheriff’s report on the hanging of Charlie Lang Robinson and notes that his body had the following notice attached: “Thus We Protect Our Women”. Signed “Citizens of Barnwell County.”","INAP",NA,"INAP",NA,"3 miles from Elko, between Elko and Blackville","0","None reported",NA,"No indicaton of being a stranger or marginalized","9:30 PM","Charlie L. Robinson, 1/14/1901, Barnwell Co., Black Male, Assaulted woman (rape)","None reported","0","Charleston News and Courier 1/15/1901, p. 5
Logansport (IN) Pharos 1/15/1901, p. 1 (NewspaperArchive.com)
Columbia State 1/15/1901, p. 1 (GenealogyBank.com)
Augusta (GA) Chronicle 1/15/1901, p. 2
Charleston News and Courier 1/17/1901, p. 2
Columbia State 1/17/1901, p. 8 (GenealogyBank.com)
Marble Rock (IO) Journal 1/24/1901, p. 3 (NewspaperArchive.com)","Yes","INAP","lynching","1900"
