Newspapers|LCCN|OCLC|ISSN|State|County|City|Geo Location|Browse Digitized Issues|Number of Issues|First Issue|Last Issue|Essay Available|Languages|Ethnicity
Aberdeen Herald (Aberdeen, Chehalis County, W.T.) 1886-1917|sn87093220|17196902|2331-9682|Washington|Grays Harbor|Aberdeen|46.9754569, -123.8155291|https://www.loc.gov/item/sn87093220/?st=calendar|1979|1890-10-23|1917-06-29|True|English|
The Aberdeen Weekly (Aberdeen, Miss.) 1878-1933|sn86074011|14438662|2381-6643|Mississippi|Monroe|Aberdeen|33.826117, -88.54499|https://www.loc.gov/item/sn86074011/?st=calendar|630|1878-11-08|1922-05-05|True|English|
The Abilene Reflector (Abilene, Kan.) 1883-1888|sn84029385|11098250|2163-4432|Kansas|Dickinson|Abilene|38.9173235, -97.2139196|https://www.loc.gov/item/sn84029385/?st=calendar|242|1883-09-06|1888-04-26|True|English|
Abilene Weekly Reflector (Abilene, Kan.) 1888-1935|sn84029386|11098266|2163-4459|Kansas|Dickinson|Abilene|38.9173235, -97.2139196|https://www.loc.gov/item/sn84029386/?st=calendar|1813|1888-05-03|1922-12-28|True|English|
The Abingdon Virginian (Abingdon [Va.]) 1849-1883|sn84025980|10873381|2163-7245|Virginia|Washington|Abingdon|36.7090835, -81.9769635|https://www.loc.gov/item/sn84025980/?st=calendar|86|1862-10-03|1864-12-09|True|English|
Abolition Standard (Concord, N.H.) 1840-1841|sn90062279|21981257||New Hampshire|Merrimack|Concord|43.2095691, -71.5372937|https://www.loc.gov/item/sn90062279/?st=calendar|2|1840-07-21|1841-01-01|True|English|
Ad-Daleel (Detroit, Mich.) 194?-19??|sn98066259|39063202|2688-9412|Michigan|Wayne|Detroit|42.3329407, -83.0478365|https://www.loc.gov/item/sn98066259/?st=calendar|189|1943-12-08|1951-12-20|True|English, Arabic|Arab, Lebanese, Syrian
Adahooniłigii (Phoenix [Ariz.]) 1943-????|sn92024097|5589414|2768-7279|Arizona|Maricopa|Phoenix|33.448204, -112.0725848|https://www.loc.gov/item/sn92024097/?st=calendar|103|1943-08-02|1957-05-01|True|Navaho, English, Navajo|Indians of North America
The Adair County News (Columbia, Ky.) 1897-1987|sn86069496|14196349|1940-7432|Kentucky|Adair|Columbia|37.102703, -85.306198|https://www.loc.gov/item/sn86069496/?st=calendar|1185|1900-01-03|1922-12-26|True|English|
The Adak Daily Sun (Adak, Alaska) 19??-1954|sn97060075|38055220|2993-8805|Alaska||Adak|51.873021, -176.660875|https://www.loc.gov/item/sn97060075/?st=calendar|1|1953-01-23|1953-01-23|True|English|
The Adak Sun (Adak, Alaska) 1955-1976|sn96060044|34774812|2993-8783|Alaska||Adak|51.873021, -176.660875|https://www.loc.gov/item/sn96060044/?st=calendar|194|1956-02-13|1963-05-20|True|English|
Adams County News (Ritzville, Wash.) 1898-1906|sn87093056|17005993|2331-9410|Washington|Adams|Ritzville|47.125834, -118.376947|https://www.loc.gov/item/sn87093056/?st=calendar|443|1898-02-02|1906-10-17|True|English|
Adams County Witness (Berne, Adams County, Ind.) 1922-1931|sn86059048|14375138||Indiana|Adams|Berne|40.658706, -84.955761|https://www.loc.gov/item/sn86059048/?st=calendar|285|1925-01-02|1926-10-29|True|English|
The Advance (Milbank, Grant County, S.D.) 188?-1890|sn00065153|43593619|2577-3380|South Dakota|Grant|Milbank|45.218964, -96.635076|https://www.loc.gov/item/sn00065153/?st=calendar|3|1890-03-21|1890-04-04|True|English|
The Advance (Wilmington, Del.) 1899-19??|sn86058063|13353313|2637-8205|Delaware|New Castle|Wilmington|39.7444318, -75.5451003|https://www.loc.gov/item/sn86058063/?st=calendar|1|1900-09-22|1900-09-22|True|English|African American
The Advance (Richwood, W. Va.) 1923-1927|sn86092215|13148695||West Virginia|Nicholas|Richwood|38.2251015, -80.533325|https://www.loc.gov/item/sn86092215/?st=calendar|108|1924-06-24|1926-06-15|True|English|
The Advance (Jamesburg, N.J.) 1888-19??|sn91064026|24263744|2994-9025|New Jersey|Middlesex|Jamesburg|40.353207, -74.442664|https://www.loc.gov/item/sn91064026/?st=calendar|670|1888-03-01|1921-09-20|True|English|
The Advertiser (Wilmington, Del.) 1879-18??|sn88053127|18801541|2637-8248|Delaware|New Castle|Wilmington|39.7444318, -75.5451003|https://www.loc.gov/item/sn88053127/?st=calendar|5|1879-11-22|1880-01-17|True|English|
The Advertiser (Lexington, Miss.) 187?-18??|2017218589|981767140|2639-7579|Mississippi|Holmes|Lexington|33.112276, -90.052831|https://www.loc.gov/item/2017218589/?st=calendar|19|1876-04-07|1880-10-22|True|English|
The Advertiser (Wilmington, Del.) 1879-1879|2017270501|987619439|2637-8221|Delaware|New Castle|Wilmington|39.7444318, -75.5451003|https://www.loc.gov/item/2017270501/?st=calendar|3|1879-11-22|1879-12-20|True|English|
The Advocate (Leavenworth, Kan.) 1888-1889|sn85029303|12101931||Kansas|Leavenworth|Leavenworth|39.32746, -94.918953|https://www.loc.gov/item/sn85029303/?st=calendar|31|1888-08-18|1889-09-14||English|African American
The Advocate (Charleston, W. Va.) 1901-1913|sn85059812|12920534|2574-6464|West Virginia|Kanawha|Charleston|38.351194, -81.638362|https://www.loc.gov/item/sn85059812/?st=calendar|287|1907-02-07|1912-11-14|True|English|African American
Advocate and Examiner (New Haven [Conn.]) 1855-1856|sn93053835|27731508||Connecticut|New Haven|New Haven|41.3082517, -72.9241605|https://www.loc.gov/item/sn93053835/?st=calendar|2|1856-03-20|1856-04-17||English|
The Advocate and News (Topeka, Kan.) 1897-1899|sn85032019|12759330|2329-2547|Kansas|Shawnee|Topeka|39.050976, -95.670433|https://www.loc.gov/item/sn85032019/?st=calendar|73|1897-11-24|1899-04-12|True|English|
The Advocate and Topeka Tribune (Topeka, Kan.) 1892-1894|sn85031982|12759375|2329-2474|Kansas|Shawnee|Topeka|39.050976, -95.670433|https://www.loc.gov/item/sn85031982/?st=calendar|76|1892-07-27|1894-01-10|True|English|
The Advocate (Meriden, Kan.) 1889-1892|sn85029079|11805167|2329-2458|Kansas|Jefferson, Shawnee|Meriden, Topeka|39.050976, -95.670433|https://www.loc.gov/item/sn85029079/?st=calendar|149|1889-08-10|1892-07-20|True|English|
The Advocate (Topeka, Kan.) 1894-1897|sn85032018|12759268|2329-2520|Kansas|Shawnee|Topeka|39.050976, -95.670433|https://www.loc.gov/item/sn85032018/?st=calendar|201|1894-01-17|1897-11-17|True|English|
The Aegis & Intelligencer (Bel Air, Md.) 1864-1923|sn83016107|9406028|2475-0700|Maryland|Harford|Bel Air|39.535671, -76.34847|https://www.loc.gov/item/sn83016107/?st=calendar|2383|1864-03-18|1922-12-29|True|English|
African Expositor (Raleigh, N.C.) 18??-18??|sn97064613|38892755|2766-5992|North Carolina|Wake|Raleigh|35.7813033, -78.6416795|https://www.loc.gov/item/sn97064613/?st=calendar|1|1886-10-01|1886-10-01||English|African American
Africo-American Presbyterian (Wilmington, N.C.) 1879-1938|sn84025826|10354392|2835-8740|North Carolina|Mecklenburg, New Hanover|Charlotte, Wilmington|34.2367, -77.946197|https://www.loc.gov/item/sn84025826/?st=calendar|1|1899-12-21|1899-12-21|True|English|African American
The Afro-American (Baltimore, Md.) 1892-1899|sn83009626|9235910|2473-5922|Maryland||Baltimore|39.290443, -76.612333|https://www.loc.gov/item/sn83009626/?st=calendar|23|1893-04-29|1898-03-26|True|English|African American
The Afro-American Advance (Minneapolis, Minn. ; St. Paul, Minn.) 1899-19??|sn86058061|13353098|2996-3141|Minnesota|Hennepin, Ramsey|Minneapolis, Saint Paul|44.94441, -93.09327|https://www.loc.gov/item/sn86058061/?st=calendar|71|1899-05-27|1900-11-17|True|English|African American
Afro-American Advocate (Coffeyville, Kan.) 1891-1893|sn85031378|12257763|2997-6510|Kansas|Montgomery|Coffeyville|37.032981, -95.615716|https://www.loc.gov/item/sn85031378/?st=calendar|74|1891-09-02|1893-09-01|True|English|African American
The Afro-American Citizen (Charleston, S.C.) 1899-1902|sn83025782|9797992|2166-1669|South Carolina|Charleston|Charleston|32.77647, -79.931027|https://www.loc.gov/item/sn83025782/?st=calendar|1|1900-01-17|1900-01-17|True|English|African American
Afro-American Courier (Yazoo City, Miss.) 1926-19??|sn88067171|18201922|2694-6068|Mississippi|Yazoo|Yazoo City|32.8472499, -90.4136515|https://www.loc.gov/item/sn88067171/?st=calendar|54|1926-08-01|1957-05-01|True|English|African American
Afro-Independent (St. Paul, Minn. ; Minneapolis, Minn.) 1888-1???|sn86058058|13351837|2996-3222|Minnesota|Ramsey, Hennepin|Saint Paul, Minneapolis|44.9774859, -93.2643669|https://www.loc.gov/item/sn86058058/?st=calendar|1|1888-09-22|1888-09-22|True|English|African American
The Age-Herald (Birmingham, Ala.) 1897-1902|sn86072192|14948274|2692-4099|Alabama|Jefferson|Birmingham|33.5228587, -86.8077052|https://www.loc.gov/item/sn86072192/?st=calendar|1630|1897-08-01|1902-05-20|True|English|
Airdome Bulletin (Stuttgart, Ark.) 1912-19??|sn93050485|28287657||Arkansas|Arkansas|Stuttgart|34.5002189, -91.5525757|https://www.loc.gov/item/sn93050485/?st=calendar|1|1913-08-02|1913-08-02||English|
Ajo Copper News (Ajo, Pima Co., Ariz.) 1916-1926|sn95060771|6764709|2997-4135|Arizona|Pima|Ajo|32.374125, -112.862978|https://www.loc.gov/item/sn95060771/?st=calendar|524|1916-04-29|1926-06-19|True|English|
Akron Daily Democrat (Akron, Ohio) 1892-1902|sn84028140|10448440|2157-3301|Ohio|Summit|Akron|41.084821, -81.515607|https://www.loc.gov/item/sn84028140/?st=calendar|1100|1899-05-01|1902-12-31|True|English|
Alabama State Intelligencer (Tuscaloosa, Ala.) 1829-183?|sn84021903|2683862|2574-4089|Alabama|Tuscaloosa|Tuscaloosa|33.2106838, -87.5655828|https://www.loc.gov/item/sn84021903/?st=calendar|50|1831-01-01|1831-12-24|True|English|
Alamogordo News-Advertiser (Alamogordo, Otero County, N.M.) 1912-1914|sn92070564|26867038|2375-5857|New Mexico|Otero|Alamogordo|32.890216, -105.961256|https://www.loc.gov/item/sn92070564/?st=calendar|28|1912-12-07|1913-06-13|True|English|
The Alamogordo News (Alamogordo, N.M.) 1899-1912|sn92070566|26867032|2375-5881|New Mexico|Otero|Alamogordo|32.890216, -105.961256|https://www.loc.gov/item/sn92070566/?st=calendar|462|1900-01-04|1912-11-28|True|English, Spanish|
The Alaska Citizen (Fairbanks, Alaska) 1910-1917|sn96060002|34775152|2641-4732|Alaska||Fairbanks|64.836661, -147.738891|https://www.loc.gov/item/sn96060002/?st=calendar|390|1910-04-09|1917-10-01|True|English|
The Alaska Daily Empire (Juneau, Alaska) 1912-1926|sn84020657|3039521|2576-9227|Alaska||Juneau|58.3010372, -134.4246377|https://www.loc.gov/item/sn84020657/?st=calendar|4340|1912-11-02|1926-12-07|True|English|
The Alaska Fisherman (Juneau, Alaska) 1923-1932|sn93049282|29593944|2837-6250|Alaska||Juneau, Ketchikan, Petersburg|56.8111093, -132.9573666|https://www.loc.gov/item/sn93049282/?st=calendar|97|1923-05-15|1932-09-15||English|Indians of North America
Alaska Forum (Rampart, Alaska) 1900-1906|sn90065065|22038311|2837-3723|Alaska||Rampart|65.493813, -150.154713|https://www.loc.gov/item/sn90065065/?st=calendar|153|1900-09-27|1906-08-04|True|English|
The Alaska Juneau-Douglas Island News (Treadwell, Alaska) 1918-1919|sn93049270|29267917|2995-2530|Alaska||Douglas, Juneau, Treadwell|58.2644444, -134.3672222|https://www.loc.gov/item/sn93049270/?st=calendar|10|1918-09-01|1919-01-15|True|English|
The Alaska Prospector (Valdez, Alaska) 1902-1908|sn84021905|3040314|2578-1049|Alaska||Valdez|61.1290499, -146.360131|https://www.loc.gov/item/sn84021905/?st=calendar|389|1902-02-13|1908-08-13|True|English|
Alaska Sentinel (Wrangell, Alaska) 1902-1909|sn93059165|27426297|2837-6560|Alaska||Wrangell|56.4703424, -132.3774313|https://www.loc.gov/item/sn93059165/?st=calendar|196|1902-11-20|1909-02-11||English|
The Alaska Socialist (Fairbanks, Alaska) 1913-19??|sn96060006|34775168|2771-2532|Alaska||Fairbanks|64.836661, -147.738891|https://www.loc.gov/item/sn96060006/?st=calendar|30|1913-09-29|1915-02-24|True|English|
The Alaska Sourdough (Douglas, Alaska) 1911-1911|sn93049252|28858220|2993-9283|Alaska||Douglas|58.2771071, -134.3976208|https://www.loc.gov/item/sn93049252/?st=calendar|17|1911-09-01|1911-12-26|True|English|
The Alaskan (Petersburg, Alaska) 1926-1932|sn94050088|31214772|2837-7648|Alaska||Petersburg|56.8111093, -132.9573666|https://www.loc.gov/item/sn94050088/?st=calendar|320|1926-07-16|1932-09-30||English|Indians of North America
The Albany Register (Albany, Or.) 1868-18??|sn84022643|10519046|2472-4327|Oregon|Linn|Albany|44.6365027, -123.106025|https://www.loc.gov/item/sn84022643/?st=calendar|489|1868-10-03|1880-12-31|True|English|
Albuquerque Citizen (Albuquerque, N.M.) 1907-1909|sn84020616|11252045|2327-1167|New Mexico|Bernalillo|Albuquerque|35.084248, -106.649241|https://www.loc.gov/item/sn84020616/?st=calendar|658|1907-07-26|1909-08-31|True|English|
Albuquerque Daily Citizen (Albuquerque, N.M.) 1895-1903|sn84020613|11251420|2332-9874|New Mexico|Bernalillo|Albuquerque|35.084248, -106.649241|https://www.loc.gov/item/sn84020613/?st=calendar|1703|1898-01-01|1903-06-30|True|English|
Albuquerque Evening Citizen (Albuquerque, N.M.) 1905-1907|sn84020615|11251631|2332-9920|New Mexico|Bernalillo|Albuquerque|35.084248, -106.649241|https://www.loc.gov/item/sn84020615/?st=calendar|646|1905-07-01|1907-07-25|True|English|
Albuquerque Evening Herald (Albuquerque, N.M.) 1911-1914|sn92070581|26901571|2327-123x|New Mexico|Bernalillo|Albuquerque|35.084248, -106.649241|https://www.loc.gov/item/sn92070581/?st=calendar|904|1911-03-07|1914-01-26|True|English|
Albuquerque Morning Journal (Albuquerque, N.M.) 1903-1926|sn84031081|11221430|2375-5903|New Mexico|Bernalillo|Albuquerque|35.084248, -106.649241|https://www.loc.gov/item/sn84031081/?st=calendar|6070|1905-10-01|1922-12-31|True|English|
The Albuquerque Morning Journal (New Albuquerque, N.M.) 1882-1884|sn86063567|13452473|2375-5938|New Mexico|Bernalillo|Albuquerque|35.084248, -106.649241|https://www.loc.gov/item/sn86063567/?st=calendar|39|1882-09-01|1884-08-31|True|English|
Albuquerque Weekly Citizen (Albuquerque, N.M.) 1891-19??|sn92070464|26394261|2327-1183|New Mexico|Bernalillo|Albuquerque|35.084248, -106.649241|https://www.loc.gov/item/sn92070464/?st=calendar|650|1891-01-10|1906-12-29|True|English|
Alexandria Advertiser and Commercial Intelligencer (Alexandria [Va.]) 1800-1803|sn84024011|10284041|2836-1067|Virginia||Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn84024011/?st=calendar|545|1800-12-08|1803-09-16|True|English|
Alexandria Daily Advertiser (Alexandria [Va.]) 1803-1808|sn84024012|10284052|2836-1164|Virginia||Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn84024012/?st=calendar|1089|1803-09-19|1808-07-09|True|English|
Alexandria Daily Gazette, Commercial & Political (Alexandria [Va.]) 1808-1812|sn84024013|10284084|2767-3235|Virginia||Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn84024013/?st=calendar|1247|1808-07-11|1812-09-18|True|English|
Alexandria Gazette (Alexandria, D.C.) 1834-1974|sn85025007|11539504|1946-6153|Virginia|Alexandria|Alexandria|33.4599402562, -82.2464088333|https://www.loc.gov/item/sn85025007/?st=calendar|26610|1834-01-01|1923-04-02|True|English|
Alexandria Gazette (Alexandria, D.C.) 1834-1974|sn85025007|11539504|1946-6153|District of Columbia|Alexandria|Alexandria|33.4599402562, -82.2464088333|https://www.loc.gov/item/sn85025007/?st=calendar|26610|1834-01-01|1923-04-02|True|English|
The Alexandria Gazette (Alexandria [Va.]) 1822-1822|sn86071520|13590578|2767-3537|Virginia||Alexandria|33.4599402562, -82.2464088333|https://www.loc.gov/item/sn86071520/?st=calendar|30|1822-04-02|1822-06-08|True|English|
The Alexandria Gazette (Alexandria [Va.]) 1822-1822|sn86071520|13590578|2767-3537|District of Columbia||Alexandria|33.4599402562, -82.2464088333|https://www.loc.gov/item/sn86071520/?st=calendar|30|1822-04-02|1822-06-08|True|English|
Alexandria Gazette & Advertiser (Alexandria [D.C.]) 1822-1824|sn85025001|11538401|2767-3634|Virginia||Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn85025001/?st=calendar|364|1822-06-11|1824-12-30|True|English|
Alexandria Gazette & Daily Advertiser (Alexandria [Va.]) 1817-1822|sn83026170|10222020|2767-3480|Virginia||Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn83026170/?st=calendar|1302|1817-09-01|1822-03-30|True|English|
Alexandria Gazette, Commercial and Political (Alexandria [Va.]) 1812-1817|sn84024014|10284160|2767-3251|Virginia||Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn84024014/?st=calendar|1136|1812-09-21|1817-05-10|True|English|
The Alexandria Herald (Alexandria [Va.]) 1811-1826|sn84024513|10859252|2767-4274|Virginia||Alexandria|38.804665, -77.043614|https://www.loc.gov/item/sn84024513/?st=calendar|294|1813-06-21|1825-05-18|True|English|
The Alexandrian: A Commercial, Agricultural and Literary Journal ([Alexandria, D.C.]) 1820-1821|sn84038753|11485885||Virginia||Alexandria|33.4599402562, -82.2464088333|https://www.loc.gov/item/sn84038753/?st=calendar|58|1820-11-16|1821-03-31||English|
The Alexandrian: A Commercial, Agricultural and Literary Journal ([Alexandria, D.C.]) 1820-1821|sn84038753|11485885||District of Columbia||Alexandria|33.4599402562, -82.2464088333|https://www.loc.gov/item/sn84038753/?st=calendar|58|1820-11-16|1821-03-31||English|
The Aliened American (Cleveland, Ohio) 1853-18??|sn83035397|9777824|2836-0982|Ohio|Cuyahoga|Cleveland|41.5051414, -81.6914575|https://www.loc.gov/item/sn83035397/?st=calendar|1|1853-04-09|1853-04-09|True|English|African American
All Aboard (Topaz, Utah) 194?-194?|sn98047550|12616280|3067-5839|Utah||Topaz|35.036482, -90.359265|https://www.loc.gov/item/sn98047550/?st=calendar|1|1944-03-01|1944-03-01||English|Japanese
Allarm (Minneapolis, Minn.) 1915-19??|sn90059692|24608436|2640-5946|Minnesota|Hennepin|Minneapolis|44.9774859, -93.2643669|https://www.loc.gov/item/sn90059692/?st=calendar|38|1915-12-01|1918-05-01|True|Swedish|Swedish
The Alleghanian (Lewisburg, Va. [W. Va.]) 1832-183?|sn85059669|12789244||West Virginia|Greenbrier|Lewisburg|37.801721, -80.4454143|https://www.loc.gov/item/sn85059669/?st=calendar|10|1832-05-04|1833-10-04||English|
The Alleghanian (Ebensburg, Pa.) 1859-1865|sn85054845|12642687|2327-8358|Pennsylvania|Cambria|Ebensburg|40.485178, -78.72499|https://www.loc.gov/item/sn85054845/?st=calendar|251|1859-09-01|1865-02-16|True|English|
The Allen County Times (Scottsville, Ky.) 1890-1918|sn92056607|26713971||Kentucky|Allen|Scottsville|36.753286, -86.1904908|https://www.loc.gov/item/sn92056607/?st=calendar|82|1912-02-02|1918-08-16||English|
The Alliance (Lincoln, Nebraska) 1889-1889|2017270208|35868641|2644-3414|Nebraska|Lancaster|Lincoln|40.813599, -96.70261|https://www.loc.gov/item/2017270208/?st=calendar|24|1889-06-12|1889-12-07|True|English|
The Alliance Eagle (Ellisville, Jones, Miss.) 1881-1891|sn87065066|15089539|2639-7595|Mississippi|Jones|Ellisville|31.6057826, -89.1969136|https://www.loc.gov/item/sn87065066/?st=calendar|1|1890-10-16|1890-10-16|True|English|
The Alliance Herald (Alliance, Box Butte County, Neb.) 1902-1922|2010270501|608091027|2163-6761|Nebraska|Box Butte|Alliance|42.097065, -102.873559|https://www.loc.gov/item/2010270501/?st=calendar|1057|1902-02-21|1922-06-30|True|English|
The Alliance-Independent (Lincoln, Nebraska) 1892-1894|2017270211|35868580|2644-352x|Nebraska|Lancaster|Lincoln|40.813599, -96.70261|https://www.loc.gov/item/2017270211/?st=calendar|82|1892-06-30|1894-03-08|True|English|
Alma Record (Alma, Mich.) 1878-1928|sn85038709|13440165|2471-9021|Michigan|Gratiot|Alma|43.377637, -84.658593|https://www.loc.gov/item/sn85038709/?st=calendar|1796|1885-06-05|1922-12-28|True|English|
Alpena Argus (Alpena, Mich.) 1893-1909|sn95077631|34010901|2375-3420|Michigan|Alpena|Alpena|45.060653, -83.4314578|https://www.loc.gov/item/sn95077631/?st=calendar|103|1893-01-11|1894-12-26|True|English|
Alpena Weekly Argus (Alpena, Mich.) 1871-1893|sn85033549|12043077|2375-4176|Michigan|Alpena|Alpena|45.060653, -83.4314578|https://www.loc.gov/item/sn85033549/?st=calendar|1112|1871-06-29|1893-01-04|True|English|
Amador Ledger (Jackson, Amador County, Calif.) 1875-19??|sn93052980|27395392|1941-3025|California|Amador|Jackson|38.3476041, -120.7722946|https://www.loc.gov/item/sn93052980/?st=calendar|569|1900-01-05|1910-12-30|True|English|
Amador Weekly Ledger (Jackson, Amador County, Cal.) 1857-1875|sn93051029|28253585|2693-1079|California|Amador|Jackson|38.3476041, -120.7722946|https://www.loc.gov/item/sn93051029/?st=calendar|39|1857-10-24|1858-07-17|True|English|
Amarillo Daily News (Amarillo, Tex.) 19??-Current|sn85042551|3968146|2331-5962|Texas|Potter|Amarillo|35.207009, -101.832013|https://www.loc.gov/item/sn85042551/?st=calendar|1686|1911-01-13|1922-12-31|True|English|
America (Cleveland, Ohio) 1905-Current|sn83035644|10208533|1041-0732|Ohio|Cuyahoga, Wayne|Cleveland, Detroit|42.3329407, -83.0478365|https://www.loc.gov/item/sn83035644/?st=calendar|1270|1918-03-05|1922-11-02|True|English, Romanian|Romanian
America (Cleveland, Ohio) 1905-Current|sn83035644|10208533|1041-0732|Michigan|Cuyahoga, Wayne|Cleveland, Detroit|42.3329407, -83.0478365|https://www.loc.gov/item/sn83035644/?st=calendar|1270|1918-03-05|1922-11-02|True|English, Romanian|Romanian
The American (Omaha, Nebraska) 1891-1899|2017270212|1004674139|2766-2942|Nebraska|Douglas|Omaha|41.258652, -95.937195|https://www.loc.gov/item/2017270212/?st=calendar|271|1891-08-06|1899-09-08|True|English|
The American and Messenger (Manchester, N.H.) 1852-1852|sn84023810|11041280||New Hampshire|Hillsboro|Manchester|42.9909263, -71.4630908|https://www.loc.gov/item/sn84023810/?st=calendar|6|1852-06-19|1852-07-24|True|English|
American Baptist (Louisville, Ky.) 1879-19??|sn93062854|27507899|1943-8885|Kentucky|Jefferson|Louisville|38.256078, -85.751569|https://www.loc.gov/item/sn93062854/?st=calendar|37|1903-04-10|1904-12-23|True|English|African American
The American Citizen (Topeka, Kan.) 1888-1909|sn85032031|12759891|2994-838x|Kansas|Shawnee, Wyandotte|Topeka, Kansas City|39.1127, -94.626804|https://www.loc.gov/item/sn85032031/?st=calendar|836|1888-02-23|1907-08-02|True|English|African American
The American Citizen (Omaha, Neb.) 1923-1985|sn81002003|7785992|0279-3555|Nebraska|Douglas|Omaha|41.258652, -95.937195|https://www.loc.gov/item/sn81002003/?st=calendar|959|1938-07-04|1959-10-05|True|English, Italian|Italian
The American Citizen (Baltimore [Md.]) 1879-1???|sn83027092|9948094|2832-7365|Maryland||Baltimore|39.290443, -76.612333|https://www.loc.gov/item/sn83027092/?st=calendar|1|1879-04-19|1879-04-19|True|English|African American
American Citizen (Canton, Miss.) 1851-1863|sn83016736|10079820|2378-1475|Mississippi|Madison|Canton|32.6138758, -90.0349356|https://www.loc.gov/item/sn83016736/?st=calendar|142|1859-01-15|1866-02-17|True|English|
American Citizen (Canton, Miss.) 1864-1890|sn83016739|10080579|2378-1459|Mississippi|Madison|Canton|32.6138758, -90.0349356|https://www.loc.gov/item/sn83016739/?st=calendar|654|1865-10-01|1881-11-12|True|English|
American Citizen (Butler, Butler County, Pa.) 1863-1872|sn86053370|13545351|2373-4663|Pennsylvania|Butler|Butler|40.8628676, -79.8951872|https://www.loc.gov/item/sn86053370/?st=calendar|199|1863-12-09|1867-12-04|True|English|
The American Eagle (St. Louis, Mo.) 1894-19??|sn84020143|10408010|2835-6373|Missouri|Saint Louis|Saint Louis|38.635355, -90.2009855|https://www.loc.gov/item/sn84020143/?st=calendar|1|1905-12-17|1905-12-17|True|English|African American
American Falls Press (American Falls, Idaho) 1907-1937|sn86063041|13035261|2637-5427|Idaho|Oneida|American Falls|42.781744, -112.855981|https://www.loc.gov/item/sn86063041/?st=calendar|946|1907-07-27|1925-11-26|True|English, German|
American Fork Citizen (American Fork, Utah) 1912-1979|sn85058027|11751810|2163-4726|Utah|Utah|American Fork|40.376761, -111.795867|https://www.loc.gov/item/sn85058027/?st=calendar|307|1914-01-03|1922-12-30|True|English|
The American Gazette, Or, the Constitutional Journal (Salem, Mass.) 1776-1776|sn83020494|9368771|2576-5264|Massachusetts|Essex|Salem|42.521406, -70.89864|https://www.loc.gov/item/sn83020494/?st=calendar|1|1776-07-16|1776-07-16||English|
The American Guide (Little Rock, Ark.) 1889-1???|sn83025496|9529432|2833-1931|Arkansas|Pulaski|Little Rock|34.748745, -92.275105|https://www.loc.gov/item/sn83025496/?st=calendar|27|1896-03-28|1900-01-27|True|English|African American
